"Location","Total_Claims","Total_Volume_Claimed"
North Charlesside,3,99
Brittanyland,3,87
Amberton,3,79
Shortfurt,3,61
Lake Theresa,3,33
Jonathanhaven,3,116
South Tiffanyfort,3,15
West Sharonview,3,97
West Danielborough,3,84
Youngchester,3,14
Westmouth,3,77
East Garyton,3,142
Pereztown,3,98
Collinsmouth,2,48
Chelseaside,2,78
Hollyhaven,2,66
Lake Vanessa,2,64
Port Amandamouth,2,8
Smithfort,2,4
East Angela,2,41
Colemanton,2,47
North Julieburgh,2,50
New Dawnborough,2,74
Lake Donna,2,21
Lake Alicia,2,8
Ruizmouth,2,75
Pamelaberg,2,66
Charlesmouth,2,98
East Craig,2,96
Morriston,2,82
Port Andrea,2,40
North Crystal,2,88
Keithburgh,2,14
Port Melissa,2,62
Lake Latasha,2,34
South Jacobport,2,46
Lake Lorrainefort,2,84
Kevinfort,2,84
Manningshire,2,75
Brownshire,2,92
East Samantha,2,98
Shirleyland,2,100
West Omarside,2,42
North Douglasfurt,2,52
Jeffreybury,2,48
Marissaville,2,12
South Kellyberg,2,72
Alexanderchester,2,78
Olsenstad,2,6
Johnton,2,52
Raybury,2,94
Andersonmouth,2,44
Lake Justin,2,46
Francisshire,2,29
North Katelynland,2,6
New Bobbytown,2,86
Bentonfurt,2,20
Christopherton,2,86
Lake Rachael,2,64
Lake Michael,2,38
Garciatown,2,23
New Aaronberg,2,70
North Nicholas,2,80
Pearsonchester,2,44
Stephanieberg,2,56
East Meganfort,2,80
Priceland,2,62
Jessicaland,2,79
New Joel,2,52
Lake Karenfurt,2,95
Port Troychester,2,22
Longland,2,68
West Melissastad,2,96
East Jacobchester,2,42
Bartonborough,2,67
New Amanda,2,76
Joshuastad,2,14
Meghanfurt,2,60
Steeleport,2,16
South Edwardtown,2,44
New Rachel,2,98
Port Donnaton,2,52
Port Eric,2,58
South Randy,2,92
Heatherview,2,30
Padillatown,2,63
Madisonfort,2,78
Taylormouth,2,46
Richardsonhaven,2,10
Brandyberg,2,65
North Gary,2,7
Lake Tamara,2,36
Marthaside,2,92
South Nicole,2,70
New Richard,2,38
Lake Michaelfurt,2,57
North Amanda,2,35
Edwardsbury,2,42
Williamsonmouth,2,78
Harrishaven,2,63
Wadeville,2,69
South Kellyville,2,86
Batesstad,2,64
Port Emily,2,82
East Lisa,2,58
Medinatown,2,96
Gaineschester,2,94
Herbertbury,2,78
Davidland,2,70
Maynardstad,2,53
Murrayborough,2,52
South Michaelberg,2,50
Linchester,2,70
Lake Joseph,2,40
Deborahfurt,2,10
West Juliabury,2,37
New Michelle,2,70
Port Marcland,2,70
South Andrewport,2,40
Samanthabury,2,68
Jonathanmouth,2,38
North Destiny,2,90
Davidborough,2,38
East Robert,2,55
Yatesside,2,62
Lake Shelby,2,10
Callahanside,2,36
Christinamouth,2,78
North Sharonburgh,2,62
Leeburgh,2,79
West Amandafurt,2,76
Port Markview,2,92
Lake Kristentown,2,44
Deckermouth,2,54
Derekport,2,56
New Jacob,2,13
Jonestown,2,50
East Andrea,2,96
Port Victoria,2,28
East Anthony,2,52
Lake Jessicamouth,2,34
Lake Regina,2,63
West Miaside,2,55
Lake Jason,2,59
Laurietown,2,45
Lake Cathy,2,40
South Allisonburgh,2,56
Lake Christopherburgh,2,70
Aprilberg,2,52
Port Emilyburgh,2,66
Castilloport,2,18
South Thomasville,2,80
Port Lesliebury,1,10
Johnsonborough,1,37
Latoyaberg,1,14
East Shanestad,1,20
Mooreview,1,25
New Calebberg,1,47
Lake Lauraton,1,7
New Douglas,1,28
Tammyside,1,16
West Lisamouth,1,7
Port Anita,1,29
Millerview,1,27
Lake Christophermouth,1,21
Robertshire,1,14
Penabury,1,7
Walterton,1,42
South Kevinhaven,1,14
North Tracy,1,29
South Danielle,1,50
Tinamouth,1,21
Port Lisamouth,1,13
West Dawn,1,27
Williamsfort,1,8
Gibsonfort,1,35
Samueltown,1,17
East Sonyaport,1,49
Nicoletown,1,36
East Elizabeth,1,42
North Aaron,1,44
Michaelview,1,11
Davisview,1,18
North Ryan,1,42
Wilsonport,1,5
Benjaminstad,1,15
East Emilyburgh,1,25
Thorntonbury,1,22
New Rodneyville,1,17
Patrickmouth,1,44
Lake Coryhaven,1,25
South Douglashaven,1,2
South Johnshire,1,4
Brookeland,1,2
Sandrastad,1,27
Lisamouth,1,43
Allenborough,1,18
Heatherside,1,3
Lake Traceyburgh,1,39
Anthonyton,1,3
Mcclainfurt,1,47
Brownberg,1,28
East Edwinburgh,1,17
Villastad,1,42
Jordanhaven,1,44
Port Dianaberg,1,35
New Zachary,1,47
East Richardside,1,7
West Larry,1,19
Lake Ryanbury,1,13
Sharonton,1,31
North Melanie,1,14
East Nicholasbury,1,21
South Jerryside,1,42
Lake Diane,1,28
Ramseyfort,1,31
Port Bryce,1,12
Andersonville,1,2
Amandashire,1,33
Gardnerfort,1,12
North Sharonberg,1,24
New Jamesburgh,1,18
Jeffreyport,1,5
Anthonyborough,1,36
New Ninashire,1,16
Williamview,1,21
Rebeccaburgh,1,17
West Dannyland,1,42
Mortonfort,1,23
South Anne,1,38
Ginaview,1,31
Port Gregton,1,42
North Catherine,1,34
East Kevin,1,8
Port Peter,1,13
South Charles,1,25
Lake Jasmin,1,24
Villaborough,1,34
West Kara,1,22
North Edwinchester,1,40
New Hannah,1,6
Moralesside,1,43
East Lori,1,8
South Tylerstad,1,9
Watsonton,1,9
East Deniseborough,1,4
West Tinamouth,1,27
Nolanmouth,1,29
Roystad,1,48
Boylechester,1,7
Rogersmouth,1,37
East Emily,1,6
Mitchellmouth,1,7
Lake George,1,27
East Brittanyland,1,49
East Johnburgh,1,3
Timothyview,1,5
East Amyfurt,1,17
New Larry,1,11
New Ricky,1,7
Lake Vanessaland,1,31
West Anthonymouth,1,11
Velazquezview,1,1
Snyderton,1,2
Rodriguezview,1,37
Davidport,1,9
West Vanessafort,1,47
Brownchester,1,50
North Lisaland,1,15
Meganshire,1,37
Blaketown,1,32
North Nathan,1,5
Huberstad,1,49
Fowlerbury,1,33
South Michellechester,1,50
East Ashleyshire,1,42
East Timothy,1,21
West Michael,1,28
New Matthew,1,32
Evansmouth,1,2
Walkerfurt,1,13
West Stevenport,1,19
West Lucasville,1,2
Floresville,1,33
Sylviabury,1,14
Bonillahaven,1,22
South Davidside,1,40
Valdezborough,1,42
New Erica,1,25
West Robert,1,32
Henrychester,1,33
West Melissa,1,4
Grahamside,1,14
New Daniel,1,36
Deborahland,1,39
Port Richardshire,1,32
North Ashley,1,33
Marcstad,1,8
Port Tanyaburgh,1,2
Strongmouth,1,5
Port Dustin,1,34
West Samantha,1,26
Zimmermanton,1,5
North Caitlin,1,36
Wilsonview,1,32
Matthewbury,1,20
New Billy,1,6
New Robertstad,1,22
Lake Maria,1,45
Markport,1,13
Carlbury,1,40
Christopherstad,1,22
Jenniferville,1,20
Port Staceymouth,1,19
Justinhaven,1,4
Lake Travis,1,41
West Corey,1,3
North Mariahchester,1,43
Solisburgh,1,47
Lake Heather,1,4
Lake James,1,11
Anthonyshire,1,30
East Aaron,1,31
Port Matthew,1,36
Chelseyfort,1,21
Christinetown,1,13
West Catherine,1,33
East Courtneymouth,1,15
North Ebony,1,39
Port Davidshire,1,10
East Sheena,1,37
Lake Jamestown,1,30
West Brandon,1,5
New Lisa,1,19
Garzaville,1,16
Port Connie,1,49
South Brenda,1,2
Bellport,1,16
Port Melanie,1,7
Spenceland,1,50
North Garybury,1,26
Westbury,1,21
