"city","total_food_listings","total_quantity","number_of_providers"
West Lisamouth,1,7,1
West Lucasville,1,2,1
West Matthew,1,17,1
West Melissa,1,4,1
West Melissastad,1,48,1
West Michael,1,28,1
West Omarside,1,21,1
West Samantha,1,26,1
West Stevenport,1,19,1
West Tinamouth,1,27,1
West Vanessafort,1,47,1
Westbury,1,21,1
Wheelermouth,1,13,1
Williamland,1,41,1
Williamview,1,21,1
Wilsonport,1,5,1
Wilsonview,1,32,1
Yatesside,1,31,1
Tamaraside,1,2,1
Alexanderchester,1,39,1
Allenborough,1,18,1
Amandashire,1,33,1
Andersonmouth,1,22,1
Andersonville,1,2,1
Andrewsmouth,1,33,1
Annahaven,1,11,1
Anthonyborough,1,36,1
Anthonyhaven,1,3,1
Anthonyshire,1,30,1
Anthonyton,1,3,1
Aprilberg,1,26,1
Ashleyhaven,1,44,1
Bairdfort,1,50,1
Batesstad,1,32,1
Benjaminstad,1,15,1
Bentonfurt,1,10,1
Bonillahaven,1,22,1
Boylechester,1,7,1
Brendantown,1,47,1
Brianside,1,4,1
Brittanyport,1,9,1
Brownberg,1,28,1
Brownchester,1,50,1
Brownshire,1,46,1
Browntown,1,44,1
Callahanside,1,18,1
Cannonside,1,34,1
Carlborough,1,34,1
Carrport,1,4,1
Chambersfort,1,31,1
Charlesmouth,1,49,1
Charlesview,1,18,1
Chelseaside,1,39,1
Christinaland,1,34,1
Christinamouth,1,39,1
Christinetown,1,13,1
Christopherstad,1,22,1
Christopherton,1,43,1
Collinsmouth,1,24,1
Connieside,1,6,1
Cordovaborough,1,40,1
Crystalborough,1,49,1
Cunninghambury,1,39,1
Danachester,1,4,1
Davidland,1,35,1
Davidport,1,9,1
Davisview,1,18,1
Deborahfurt,1,5,1
Deborahland,1,39,1
Deckermouth,1,27,1
Derekport,1,28,1
East Amyfurt,1,17,1
East Bernard,1,8,1
East Christophertown,1,2,1
East Courtneymouth,1,15,1
East Cynthia,1,27,1
East Deborah,1,12,1
East Deniseborough,1,4,1
East Elizabeth,1,42,1
East Emily,1,6,1
East Emilyburgh,1,25,1
East Johnburgh,1,3,1
East Kevin,1,8,1
East Kimberly,1,33,1
East Laurashire,1,5,1
East Lindsayville,1,45,1
East Lori,1,8,1
East Meganfort,1,40,1
East Michelle,1,33,1
East Nicholasbury,1,21,1
East Phillipton,1,48,1
East Roberthaven,1,46,1
East Rossside,1,47,1
East Samantha,1,49,1
East Sandra,1,18,1
East Shanestad,1,20,1
East Sonyaport,1,49,1
East Timothy,1,21,1
East Williamshire,1,15,1
Edwardsbury,1,21,1
Elliottberg,1,48,1
Evansmouth,1,2,1
Floresville,1,33,1
Fowlerbury,1,33,1
Garciamouth,1,23,1
Garciaport,1,14,1
Garciaside,1,17,1
Garzaville,1,16,1
Gibsonfort,1,35,1
Ginaview,1,31,1
Grahamside,1,14,1
Harrisonbury,1,26,1
Hawkinsmouth,1,49,1
Heathermouth,1,39,1
Heatherside,1,3,1
Henrychester,1,33,1
Hestermouth,1,9,1
Huberstad,1,49,1
Janetborough,1,45,1
Jasmineberg,1,26,1
Jasonland,1,15,1
Jeffreyport,1,5,1
Jennifertown,1,27,1
Jenniferville,1,20,1
Jeremiahfort,1,49,1
Johnport,1,12,1
Johnsonside,1,33,1
Johnstonhaven,1,32,1
Johnton,1,26,1
Jonestown,1,25,1
Josephburgh,1,48,1
Joseville,1,44,1
Joshuastad,1,7,1
Justinhaven,1,4,1
Katherinefurt,1,17,1
Keithburgh,1,7,1
Kentland,1,22,1
Kevinfort,1,42,1
Lake Anthonyport,1,1,1
Lake Cathy,1,20,1
Lake Coryhaven,1,25,1
Lake Deborah,1,9,1
Lake George,1,27,1
Lake Heather,1,4,1
Lake James,1,11,1
Lake Jasmin,1,24,1
Lake Jeffreytown,1,5,1
Lake Jessicamouth,1,17,1
Lake Joseph,1,20,1
Lake Kari,1,23,1
Lake Kristentown,1,22,1
Lake Latasha,1,17,1
Lake Lauraton,1,7,1
Lake Maria,1,45,1
Lake Nathan,1,6,1
Lake Raymondton,1,21,1
Lake Richardhaven,1,9,1
Lake Ryanbury,1,13,1
Lake Shelby,1,5,1
Lake Tamara,1,18,1
Lake Theresa,1,11,1
Lake Traceyburgh,1,39,1
Lake Vanessa,1,32,1
Lake Vanessaland,1,31,1
Latoyaberg,1,14,1
Lesterstad,1,50,1
Lewishaven,1,10,1
Linchester,1,35,1
Lisamouth,1,43,1
Longland,1,34,1
Lopezport,1,5,1
Madelinechester,1,47,1
Marissaville,1,6,1
Marthaside,1,46,1
Martinville,1,32,1
Matthewbury,1,20,1
Mcclainfurt,1,47,1
Meganshire,1,37,1
Meghanfurt,1,30,1
Michaelview,1,11,1
Mikaylachester,1,28,1
Mitchellmouth,1,7,1
Mooneybury,1,48,1
Mooremouth,1,46,1
Mooreview,1,25,1
Morganhaven,1,30,1
Morriston,1,41,1
Moseshaven,1,33,1
New Aaronberg,1,35,1
New Baileyfort,1,23,1
New Billy,1,6,1
New Connorfort,1,10,1
New Daniel,1,36,1
New Dawnborough,1,37,1
New Douglas,1,28,1
New Erica,1,25,1
New Ginaborough,1,36,1
New Hannah,1,6,1
New Hollyfurt,1,1,1
New Jamesburgh,1,18,1
New Larry,1,11,1
New Leslieport,1,44,1
New Lisa,1,19,1
New Matthew,1,32,1
New Michaelmouth,1,2,1
New Michelle,1,35,1
New Monicaside,1,1,1
New Ninashire,1,16,1
New Rachel,1,49,1
New Ricky,1,7,1
New Robertstad,1,22,1
New Thomasmouth,1,50,1
New Tiffanystad,1,35,1
New Zachary,1,47,1
Nicoletown,1,36,1
Nolanmouth,1,29,1
North Ashley,1,33,1
North Brendaborough,1,42,1
North Brentbury,1,38,1
North Brooke,1,38,1
North Caitlin,1,36,1
North Carolfurt,1,13,1
North Catherine,1,34,1
North Crystal,1,44,1
North Edwinchester,1,40,1
North Elizabeth,1,20,1
North Jamesberg,1,30,1
North Joseph,1,45,1
North Katelyn,1,13,1
North Katherineshire,1,27,1
North Kylestad,1,43,1
North Lisaland,1,15,1
North Mariahchester,1,43,1
North Mary,1,33,1
North Melanie,1,14,1
North Michelle,1,50,1
North Nathan,1,5,1
North Ryan,1,42,1
North Sharonberg,1,24,1
North Sharonburgh,1,31,1
North Steven,1,15,1
North Susan,1,38,1
North Tracy,1,29,1
North Victoriastad,1,4,1
Olsenstad,1,3,1
Patrickfort,1,18,1
Patrickmouth,1,44,1
Pearsonchester,1,22,1
Perkinsbury,1,14,1
Petersonburgh,1,17,1
Port Aaron,1,29,1
Port Amandamouth,1,4,1
Port Andre,1,21,1
Port Anita,1,29,1
Port Carrie,1,47,1
Port Daniellechester,1,8,1
Port Davidshire,1,10,1
Port Dianaberg,1,35,1
Port Donnaton,1,26,1
Port Dustin,1,34,1
Port Emily,1,41,1
Port Emilyburgh,1,33,1
Port Erin,1,47,1
Port Gregton,1,42,1
Port Heidiland,1,23,1
Port Jacob,1,29,1
Port Karen,1,35,1
Port Kendraborough,1,27,1
Port Kevinburgh,1,32,1
Port Lance,1,32,1
Port Leahfurt,1,38,1
Port Lesliebury,1,10,1
Port Marcland,1,35,1
