"City","total_providers","total_receivers"
New Thomasmouth,1,0
New Tiffanystad,1,0
New Travisshire,1,0
New Wendymouth,1,0
New William,1,1
New Willieburgh,1,0
Nicolefort,1,0
Nicoletown,1,0
Nolanmouth,1,0
North Aaron,1,0
North Alison,1,0
North Amanda,1,1
North Amber,1,0
North Bethanyville,1,0
North Biancaview,1,0
North Brendaborough,1,0
North Brentbury,1,0
North Briannabury,1,0
North Brooke,1,0
North Caitlin,1,0
North Carmen,1,0
North Carolfurt,1,0
North Catherine,1,0
North Charlesside,1,0
North Chase,1,0
North Christina,1,2
North Crystal,1,0
North Destiny,1,0
North Douglasfurt,1,0
North Ebony,1,0
North Edwinchester,1,0
North Elizabeth,1,0
North Gary,1,0
North Garybury,1,0
North Ianbury,1,0
North James,1,0
North Jamesberg,1,0
North Jenniferport,1,0
North Joseph,1,0
North Katelyn,1,0
North Katelynland,1,0
North Katherineshire,1,0
North Keith,1,0
North Kennethshire,1,0
North Kennethview,1,0
North Kylestad,1,0
North Lauren,1,0
North Lindseychester,1,0
North Lisaland,1,0
North Lisamouth,1,0
North Mariahchester,1,0
North Marthaton,1,0
North Mary,1,0
North Melanie,1,0
North Mike,1,0
North Nathan,1,0
North Nicholas,1,0
North Nicoleport,1,0
North Paulstad,1,0
North Ravenfurt,1,0
North Richard,1,0
North Ronaldburgh,1,0
North Ronaldmouth,1,0
North Ryan,1,0
North Sharonberg,1,0
North Sharonburgh,1,0
North Sherrimouth,1,0
North Stephanieville,1,0
North Steven,1,0
North Stevenbury,1,0
North Susan,1,0
North Tom,1,0
North Tracy,1,0
North Valerie,1,0
North Victoriastad,1,0
North William,1,0
Olsenstad,1,0
Owenschester,1,0
Owensstad,1,0
Padillamouth,1,0
Padillatown,1,0
Pamelaberg,1,0
Pamelaburgh,1,0
Parksburgh,1,0
Patrickfort,1,1
Patrickmouth,1,0
Paulmouth,1,1
Pearsonchester,1,0
Penabury,1,0
Perezport,1,1
Pereztown,1,0
Perkinsbury,1,0
Peterhaven,1,1
Petersonburgh,1,0
Petersonside,1,0
Phillipsmouth,1,0
Port Aaron,1,0
Port Allisonland,1,0
Port Amandamouth,1,0
Port Andre,1,0
Port Andrea,1,0
Port Anita,1,0
Port Brett,1,0
Port Bryce,1,0
Port Carrie,1,0
Port Christina,1,0
Port Christopher,1,0
Port Connie,1,0
Port Corystad,1,0
Port Daniel,1,0
Port Daniellechester,1,0
Port David,1,1
Port Davidshire,1,0
Port Dianaberg,1,0
Port Donnamouth,1,0
Port Donnaton,1,0
Port Dustin,1,1
Port Emily,1,0
Port Emilyburgh,1,0
Port Eric,1,0
Port Erin,1,0
Port Erinton,1,0
Port Glendastad,1,0
Port Gregton,1,0
Port Hannah,1,0
Port Hannahmouth,1,0
Port Heidiland,1,0
Port Jacob,1,0
Port Jeffrey,1,0
Port Jennifer,1,0
Port Jerome,1,0
Port Jillian,1,0
Port John,1,0
Port Julia,1,0
Port Juliafort,1,0
Port Karen,1,0
Port Kathleen,1,0
Port Kendraborough,1,0
Port Kevinburgh,1,0
Port Lance,1,0
Port Lauraville,1,0
Port Lauriechester,1,0
Port Leahfurt,1,0
Port Lesliebury,1,0
Port Linda,1,0
Port Lisamouth,1,0
Port Loganberg,1,0
Port Manuel,1,0
Port Marcland,1,0
Port Mariefort,1,0
Port Marissachester,1,0
Port Markview,1,0
Port Matthew,1,0
Port Melanie,1,0
Port Michael,1,0
Port Michaelshire,1,0
Port Pamelaport,1,0
Port Peter,1,0
Port Raymondburgh,1,0
Port Rebekah,1,0
Port Richardshire,1,0
Port Robert,1,0
Port Robertport,1,0
Port Robin,1,0
Port Ronaldshire,1,0
Port Rubenville,1,0
Port Staceymouth,1,0
Port Tanyaburgh,1,0
Port Timothystad,1,0
Port Troychester,1,0
Port Victoria,1,0
Priceland,1,0
Ramosville,1,0
Ramseyfort,1,0
Randallchester,1,0
Randallville,1,0
Raybury,1,0
Raymondview,1,0
Rebeccaburgh,1,0
Rebeccabury,1,0
Reidland,1,0
Reyesshire,1,0
Reynoldsbury,1,0
Riceshire,1,0
Richardfort,1,0
Richardmouth,1,0
Richardsonhaven,1,0
Richardton,1,1
Richchester,1,0
Richton,1,0
Ritterburgh,1,0
Roachhaven,1,0
Robertland,1,0
Robertschester,1,0
Robertshire,1,0
Robertsonfort,1,0
Robertton,1,2
Robinsonfort,1,0
Rodneystad,1,0
Rodriguezfurt,1,0
Rodriguezview,1,0
Rogersmouth,1,0
Roystad,1,0
Ruizmouth,1,0
Russellfurt,1,0
Salastown,1,0
Salinasville,1,0
Samanthabury,1,0
Samueltown,1,0
Samuelville,1,0
Sandersshire,1,0
Sandrastad,1,0
Saraburgh,1,0
Sarahland,1,0
Sarahside,1,1
Sarahview,1,0
Scottchester,1,0
Scotthaven,1,0
Scottton,1,0
Shannonside,1,0
Sharonton,1,0
Shawnborough,1,0
Sheenashire,1,0
Sheilaburgh,1,0
Shirleyland,1,0
Shortfurt,1,0
Smithfort,1,0
Smithmouth,1,0
Smithstad,1,1
Snyderton,1,0
Solisburgh,1,0
South Alicia,1,0
South Allison,1,0
South Allisonburgh,1,0
South Andrew,1,0
South Andrewport,1,0
South Anne,1,0
South Bradleyburgh,1,0
South Brandiberg,1,0
South Brenda,1,0
South Bryan,1,0
South Cassandra,1,0
South Charles,1,0
South Crystalberg,1,0
South Danielle,1,0
South Davidside,1,0
South Donald,1,0
South Douglashaven,1,0
South Edwardtown,1,0
South Jacobport,1,0
South Jasmineville,1,0
South Jason,1,1
South Jeffery,1,0
South Jeffrey,1,0
South Jeffreyburgh,1,0
South Jerryside,1,0
South Jessicachester,1,0
South Jillshire,1,0
South Johnshire,1,0
South Joshua,1,0
South Justinborough,1,0
South Karen,1,0
South Kathryn,1,0
South Kayla,1,0
South Kelly,1,0
South Kellyberg,1,0
South Kellyland,1,0
South Kellyville,1,0
South Kendra,1,0
South Kevinhaven,1,0
South Linda,1,0
South Lisaberg,1,0
South Lisabury,1,0
South Louis,1,0
South Marthahaven,1,0
South Melanieshire,1,0
South Michaelberg,1,0
South Michaelhaven,1,0
South Michellechester,1,0
South Morganfurt,1,0
South Nicholasville,1,0
South Nicole,1,0
South Randy,1,0
South Richard,1,1
South Richardhaven,1,0
South Robert,1,0
South Russelltown,1,0
South Sarahville,1,0
South Sarastad,1,0
South Stefanietown,1,0
South Tammy,1,0
South Thomasville,1,0
South Tiffanyfort,1,0
South Tina,1,0
South Tylerstad,1,0
South William,1,1
South Zacharymouth,1,0
Spenceland,1,0
Steeleport,1,0
Stephanieberg,1,1
Stevenchester,1,0
Stevensborough,1,0
Steventown,1,0
Steveport,1,0
Stewartfurt,1,0
Strongmouth,1,0
Suzanneport,1,0
Sylviabury,1,0
Tamaraside,1,0
Tammystad,1,0
Taylorchester,1,0
Taylorfort,1,1
Taylormouth,1,0
Thomasfurt,1,0
Thomasville,1,0
Thorntonbury,1,0
Timothychester,1,0
Timothyview,1,0
Tinamouth,1,0
Toddberg,1,0
Toddstad,1,1
Torresfort,1,0
Torresshire,1,0
Tracyfort,1,0
Tylerburgh,1,0
Tylerton,1,0
Tyronebury,1,0
Valdezborough,1,0
Valentineside,1,0
Valenzuelaville,1,0
Vazquezland,1,0
Vazquezshire,1,0
Velazquezview,1,0
Villaborough,1,0
Villastad,1,0
Wadeville,1,0
Walkerfurt,1,0
Walterborough,1,0
Walterton,1,0
Wardton,1,0
Washingtonville,1,0
Watsonstad,1,0
Watsonton,1,0
Weberfurt,1,0
West Abigailtown,1,0
West Adam,1,0
West Adammouth,1,0
West Aliciabury,1,0
West Amanda,1,0
West Amandafurt,1,0
West Anthonymouth,1,0
West Ashleytown,1,0
West Benjamin,1,0
West Billborough,1,0
West Brandon,1,0
West Carolyn,1,0
West Catherine,1,0
West Charlesborough,1,0
West Cherylfort,1,0
West Corey,1,0
West Daniel,1,0
West Danielborough,1,0
West Danieltown,1,0
West Dannyland,1,0
West Dawn,1,0
West Elizabethport,1,0
West Erinport,1,0
West Hunter,1,0
West James,1,2
West Jeffreyland,1,0
West Juliabury,1,0
West Julianburgh,1,0
West Kara,1,0
West Karen,1,0
West Kelli,1,0
West Kenneth,1,0
West Kevin,1,1
West Larry,1,0
West Lisamouth,1,0
West Lucasville,1,0
West Margaretfort,1,0
West Matthew,1,0
West Melissa,1,0
West Melissastad,1,0
West Miaside,1,0
West Michael,1,0
West Omar,1,0
West Omarside,1,0
West Pamelaborough,1,0
West Peter,1,0
West Peterborough,1,0
West Phillip,1,0
West Robert,1,1
West Samantha,1,0
West Samuelfurt,1,0
West Sharonview,1,0
West Stephaniemouth,1,0
West Stephen,1,0
West Stephenside,1,0
West Stevenport,1,0
West Tammy,1,0
West Theresaberg,1,0
West Thomas,1,0
West Tinamouth,1,0
West Trevorview,1,0
West Tylerberg,1,0
West Vanessafort,1,0
West Whitneymouth,1,0
Westbury,1,0
Westmouth,1,0
Wheelermouth,1,0
Williamland,1,0
Williammouth,1,0
Williamschester,1,0
Williamsfort,1,2
Williamsland,1,0
Williamsmouth,1,0
Williamsonmouth,1,0
Williamsshire,1,0
Wilsonport,1,0
Wilsonview,1,0
Woodport,1,0
Wrightville,1,0
Yatesside,1,0
Youngchester,1,0
Zimmermanton,1,0
Adambury,1,0
Zimmermanville,1,0
Adamsview,1,0
Adamsville,1,0
Aguirreville,1,0
Alexanderchester,1,0
Alexanderstad,1,0
Allenborough,1,1
Allenton,1,0
Amandaborough,1,0
Amandashire,1,0
Amberton,1,0
Ambertown,1,0
Amyport,1,0
Andersonmouth,1,0
Andersonville,1,0
Andreaborough,1,0
Andrewsmouth,1,0
Andrewstad,1,0
Anitashire,1,0
Annahaven,1,0
Annetteburgh,1,0
Anneville,1,0
Anthonyborough,1,0
Anthonychester,1,0
Anthonyfort,1,0
Anthonyhaven,1,0
Anthonyshire,1,0
Anthonyton,1,0
Aprilberg,1,0
Arnoldmouth,1,0
Ashleyhaven,1,0
Ashleyton,1,0
Bairdfort,1,0
Baldwinshire,1,0
Barkerborough,1,0
